company,title,gender,race,bins,country,region,totalyearlycompensation,yearsofexperience,yearsatcompany,education
other,Software Engineer,Male,White,L5,USA,USA,150000,5.0,2.0,3.0
other,Technical Program Manager,Male,Asian,L5,USA,USA,242000,20.0,0.0,4.0
other,Software Engineer,Other,Asian,L5,USA,USA,121000,0.0,0.0,3.0
other,Product Manager,Other,Unknown,L5,USA,USA,160000,4.0,2.0,4.0
other,Software Engineering Manager,Male,White,L5,USA,USA,150000,10.0,4.0,1.0
other,Hardware Engineer,Other,Unknown,L4,USA,USA,82000,1.0,1.0,3.0
other,Software Engineer,Male,White,L4,USA,USA,118000,1.0,0.0,3.0
other,Technical Program Manager,Male,White,L4,USA,USA,88000,1.0,1.0,3.0
other,Software Engineer,Male,White,L4,USA,USA,113000,0.0,0.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,95000,0.0,0.0,3.0
other,Marketing,Other,Unknown,L4,USA,USA,78000,3.0,1.0,4.0
other,Software Engineer,Male,Asian,L4,USA,USA,74000,1.0,1.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,111000,1.0,1.0,3.0
other,Software Engineer,Male,White,L4,USA,USA,121000,5.0,5.0,3.0
Deloitte,Software Engineer,Male,Black,L4,Canada,Canada,55000,2.0,1.0,4.0
other,Mechanical Engineer,Male,White,L4,USA,USA,75000,2.0,2.0,4.0
JPMorgan Chase,Software Engineer,Other,Unknown,L4,USA,USA,67000,0.0,0.0,3.0
other,Mechanical Engineer,Male,White,L4,USA,USA,80000,2.0,2.0,3.0
Netflix,Technical Program Manager,Other,Unknown,L4,USA,USA,220000,10.0,9.0,4.0
other,Software Engineer,Male,Unknown,L4,United Kingdom,UK&IRE,89000,1.0,0.0,3.0
other,Software Engineer,Male,White,L4,USA,USA,80000,1.0,1.0,3.0
other,Software Engineering Manager,Male,White,L4,Germany,Western Europe,115000,11.0,5.0,4.0
other,Software Engineer,Other,Unknown,L4,USA,USA,85000,2.0,2.0,3.0
other,Data Scientist,Male,White,L4,USA,USA,100000,1.0,0.0,5.0
other,Mechanical Engineer,Male,Asian,L4,USA,USA,98000,5.0,3.0,4.0
other,Software Engineer,Male,Asian,L4,USA,USA,75000,0.0,0.0,3.0
other,Software Engineer,Male,Hispanic,L4,USA,USA,72000,0.0,0.0,3.0
other,Software Engineer,Male,Unknown,L4,USA,USA,195000,5.0,5.0,3.0
other,Software Engineer,Male,Asian,L4,USA,USA,83000,1.0,1.0,3.0
other,Technical Program Manager,Other,Unknown,L4,USA,USA,90000,4.0,0.0,4.0
other,Software Engineer,Male,Asian,L4,USA,USA,94000,2.0,0.0,4.0
other,Mechanical Engineer,Other,Unknown,L4,USA,USA,75000,0.0,0.0,3.0
eBay,Product Designer,Male,White,L4,USA,USA,236000,5.0,3.0,4.0
other,Solution Architect,Male,Asian,L4,USA,USA,78000,0.0,0.0,4.0
other,Software Engineer,Male,White,L4,USA,USA,70000,0.0,0.0,3.0
other,Software Engineer,Male,Black,L4,USA,USA,90000,1.0,1.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,104000,0.0,0.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,106000,2.0,1.0,3.0
other,Software Engineer,Male,Hispanic,L4,USA,USA,90000,0.0,0.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,77000,1.0,1.0,3.0
Amazon,Software Engineer,Other,Unknown,L4,USA,USA,160000,2.0,1.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,69000,2.0,2.0,3.0
other,Software Engineer,Male,Asian,L4,Canada,Canada,81000,1.0,1.0,3.0
Capital One,Software Engineer,Male,White,L4,USA,USA,123000,1.0,0.0,3.0
other,Software Engineer,Male,Hispanic,L4,USA,USA,85000,4.0,2.0,3.0
other,Business Analyst,Other,Unknown,L4,USA,USA,83000,1.0,1.0,4.0
other,Software Engineer,Other,Unknown,L4,USA,USA,78000,1.0,1.0,3.0
Goldman Sachs,Software Engineer,Female,Asian,L4,USA,USA,150000,1.0,1.0,5.0
other,Software Engineer,Other,Unknown,L4,USA,USA,135000,2.0,2.0,3.0
other,Software Engineer,Male,Two Or More,L4,USA,USA,117000,1.0,1.0,3.0
other,Software Engineer,Male,Unknown,L4,India,India,15000,0.0,0.0,3.0
Twitter,Software Engineer,Male,Asian,L4,USA,USA,168000,0.0,0.0,3.0
other,Software Engineer,Female,White,L4,USA,USA,115000,5.0,5.0,3.0
other,Business Analyst,Female,White,L4,USA,USA,102000,2.0,2.0,3.0
other,Software Engineer,Female,Asian,L4,USA,USA,92000,5.0,4.0,4.0
other,Software Engineer,Other,Unknown,L4,USA,USA,72000,2.0,1.0,3.0
other,Software Engineer,Male,Asian,L4,USA,USA,85000,2.0,0.0,4.0
other,Software Engineer,Male,White,L4,USA,USA,74000,0.0,0.0,3.0
other,Software Engineer,Other,Unknown,L4,Germany,Western Europe,67000,2.0,0.0,3.0
other,Product Manager,Male,White,L4,USA,USA,78000,1.0,1.0,3.0
other,Software Engineer,Male,Asian,L4,USA,USA,78000,2.0,0.0,3.0
other,Software Engineer,Male,White,L4,USA,USA,71000,2.0,2.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,72000,3.0,1.0,3.0
other,Technical Program Manager,Male,White,L4,USA,USA,156000,12.0,1.0,4.0
other,Software Engineer,Male,Two Or More,L4,USA,USA,82000,1.0,1.0,3.0
other,Software Engineer,Male,Asian,L4,USA,USA,69000,0.0,0.0,3.0
other,Hardware Engineer,Other,Unknown,L4,USA,USA,120000,1.0,1.0,3.0
other,Software Engineer,Male,Asian,L4,India,India,19000,3.0,3.0,3.0
other,Software Engineer,Male,White,L4,USA,USA,69000,0.0,0.0,3.0
other,Software Engineer,Male,White,L4,USA,USA,88000,1.0,1.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,150000,10.0,2.0,4.0
other,Product Designer,Other,Unknown,L4,USA,USA,200000,10.0,8.0,3.0
other,Product Designer,Other,Unknown,L4,USA,USA,133000,1.0,0.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,80000,1.0,0.0,3.0
other,Software Engineer,Male,Two Or More,L4,USA,USA,85000,2.0,2.0,3.0
other,Software Engineer,Other,Unknown,L4,USA,USA,85000,0.0,0.0,3.0
other,Software Engineer,Male,White,L4,USA,USA,130000,4.0,0.0,3.0
other,Product Manager,Other,Unknown,L5,Singapore,South-Eastern Asia,58000,2.0,2.0,3.0
other,Mechanical Engineer,Other,Unknown,L5,USA,USA,124000,3.0,0.0,3.0
other,Software Engineer,Male,White,L5,USA,USA,94000,3.0,3.0,3.0
other,Product Designer,Male,Unknown,L5,USA,USA,113000,5.0,3.0,3.0
other,Software Engineer,Male,Black,L5,USA,USA,83000,2.0,2.0,3.0
other,Software Engineer,Other,Unknown,L5,USA,USA,158000,3.0,2.0,4.0
other,Software Engineer,Male,Asian,L5,USA,USA,105000,6.0,1.0,4.0
other,Software Engineer,Male,White,L5,USA,USA,93000,3.0,2.0,4.0
other,Human Resources,Other,Unknown,L5,USA,USA,100000,6.0,3.0,4.0
other,Software Engineer,Male,White,L5,Germany,Western Europe,74000,1.0,1.0,3.0
other,Software Engineer,Other,Unknown,L5,USA,USA,145000,20.0,2.0,3.0
other,Product Manager,Female,Asian,L5,USA,USA,178000,4.0,1.0,4.0
other,Software Engineer,Male,Asian,L5,USA,USA,175000,5.0,1.0,3.0
other,Software Engineer,Male,White,L5,USA,USA,115000,3.0,2.0,3.0
other,Software Engineer,Other,Unknown,L5,USA,USA,98000,3.0,1.0,4.0
Shopify,Sales,Other,White,L5,Canada,Canada,101000,5.0,2.0,3.0
other,Software Engineer,Male,Two Or More,L5,USA,USA,73000,3.0,3.0,3.0
other,Software Engineer,Male,Asian,L5,USA,USA,118000,2.0,2.0,3.0
other,Software Engineer,Other,Unknown,L5,USA,USA,152000,2.0,2.0,3.0
other,Software Engineer,Male,White,L5,USA,USA,99000,3.0,2.0,3.0
Twitter,Business Analyst,Other,Unknown,L5,USA,USA,133000,3.0,0.0,4.0
other,Product Manager,Other,Two Or More,L5,USA,USA,120000,6.0,2.0,3.0
